Configs,learning_rate,iterations,acc
"[12288, 10, 15, 20, 20, 15, 1]",0.011,1100,0.9701492537313434
"[12288, 10, 15, 20, 20, 15, 1]",0.011,1300,0.9701492537313434
"[12288, 10, 15, 20, 20, 15, 1]",0.011,1400,0.9701492537313434
"[12288, 10, 15, 20, 20, 15, 1]",0.011,1200,0.9701492537313434
"[12288, 10, 15, 15, 20, 1]",0.041,1300,0.955223880597015
"[12288, 10, 10, 15, 1]",0.041,1100,0.955223880597015
"[12288, 10, 10, 15, 1]",0.041,1300,0.955223880597015
"[12288, 10, 20, 15, 10, 1]",0.021,1200,0.955223880597015
"[12288, 10, 15, 15, 20, 20, 1]",0.011,1000,0.955223880597015
"[12288, 10, 10, 15, 1]",0.031,1300,0.955223880597015
"[12288, 10, 15, 20, 20, 15, 1]",0.021,1300,0.955223880597015
"[12288, 10, 20, 15, 10, 1]",0.021,1100,0.955223880597015
"[12288, 10, 20, 15, 10, 1]",0.021,1400,0.955223880597015
"[12288, 10, 15, 15, 20, 1]",0.041,1400,0.955223880597015
"[12288, 10, 15, 20, 20, 15, 1]",0.011,1000,0.955223880597015
"[12288, 10, 10, 15, 1]",0.031,1100,0.955223880597015
"[12288, 10, 10, 15, 1]",0.031,1000,0.955223880597015
"[12288, 10, 20, 15, 10, 1]",0.021,1000,0.955223880597015
"[12288, 10, 10, 20, 15, 1]",0.021,1000,0.955223880597015
"[12288, 10, 20, 10, 15, 15, 1]",0.021,1000,0.955223880597015
"[12288, 10, 10, 15, 1]",0.041,1400,0.955223880597015
"[12288, 10, 15, 15, 20, 1]",0.041,1100,0.955223880597015
"[12288, 10, 15, 20, 20, 15, 1]",0.021,1100,0.955223880597015
"[12288, 10, 20, 10, 15, 15, 1]",0.021,1400,0.955223880597015
"[12288, 10, 20, 10, 15, 15, 1]",0.021,1100,0.955223880597015
"[12288, 10, 15, 15, 20, 1]",0.041,1000,0.955223880597015
"[12288, 10, 10, 15, 1]",0.031,1200,0.955223880597015
"[12288, 10, 20, 10, 15, 15, 1]",0.021,1300,0.955223880597015
"[12288, 10, 20, 15, 10, 1]",0.021,1300,0.955223880597015
"[12288, 10, 15, 20, 20, 15, 1]",0.021,1200,0.955223880597015
"[12288, 10, 15, 20, 20, 15, 1]",0.021,1400,0.955223880597015
"[12288, 10, 10, 15, 1]",0.031,1400,0.955223880597015
"[12288, 10, 10, 15, 1]",0.041,1200,0.955223880597015
"[12288, 10, 20, 10, 15, 15, 1]",0.021,1200,0.955223880597015
"[12288, 10, 10, 15, 1]",0.041,1000,0.955223880597015
"[12288, 10, 15, 15, 20, 1]",0.041,1200,0.955223880597015
"[12288, 10, 15, 20, 20, 15, 1]",0.021,1000,0.955223880597015
"[12288, 10, 20, 20, 15, 15, 1]",0.031,1000,0.9402985074626868
"[12288, 10, 10, 15, 20, 15, 1]",0.011,1000,0.9402985074626868
"[12288, 10, 10, 10, 10, 20, 1]",0.021,1000,0.9402985074626868
"[12288, 10, 15, 10, 15, 20, 1]",0.011,1000,0.9402985074626868
"[12288, 10, 15, 10, 15, 20, 1]",0.021,1000,0.9402985074626868
"[12288, 10, 10, 10, 10, 15, 1]",0.021,1100,0.9402985074626868
"[12288, 10, 10, 20, 10, 10, 1]",0.021,1400,0.9402985074626868
"[12288, 10, 20, 10, 15, 20, 1]",0.011,1000,0.9402985074626868
"[12288, 10, 15, 10, 15, 20, 1]",0.011,1300,0.9402985074626868
"[12288, 10, 10, 15, 1]",0.021,1400,0.9402985074626868
"[12288, 10, 10, 20, 10, 10, 1]",0.021,1100,0.9402985074626868
"[12288, 10, 10, 15, 20, 15, 1]",0.011,1300,0.9402985074626868
"[12288, 10, 10, 20, 10, 10, 1]",0.021,1000,0.9402985074626868
"[12288, 10, 20, 10, 15, 15, 1]",0.011,1000,0.9402985074626868
"[12288, 10, 20, 10, 20, 15, 1]",0.011,1000,0.9402985074626868
"[12288, 10, 20, 15, 10, 1]",0.011,1000,0.9402985074626868
"[12288, 10, 10, 10, 10, 15, 1]",0.021,1000,0.9402985074626868
"[12288, 10, 20, 15, 10, 1]",0.011,1400,0.9402985074626868
"[12288, 10, 10, 15, 20, 10, 1]",0.011,1300,0.9402985074626868
"[12288, 10, 10, 10, 1]",0.011,1000,0.9402985074626868
